Director,First Average Rating,Last Average Rating,Career Progression Rating
Rodrigo Bittencourt,3.4,5.7,2.3000000000000003
Ahmed Zain,2.7999999999999994,5.1,2.3000000000000003
Mariano Cattaneo,3.9,6.2,2.3000000000000003
Reinert Kiil,2.6333333333333333,4.933333333333334,2.3000000000000003
Lisa Gornick,4.0,6.3,2.3
Kelly Dolen,4.2,6.5,2.3
Su Rynard,5.0,7.3,2.3
Rocky Jo,4.9,7.2,2.3
Branko Istvancic,5.7,8.0,2.3
Coraly Santaliz,5.5,7.8,2.3
Brian Herzlinger,4.2,6.5,2.3
Shane Edelman,4.5,6.8,2.3
Michael Derun,2.2,4.5,2.3
Christian Duguay,5.0,7.3,2.3
Tina Adams,2.0,4.3,2.3
Jonathan Nelson,6.3,8.6,2.3
Gillian Armstrong,4.7,7.0,2.3
Adam Randall,4.5,6.8,2.3
Yûjirô Harumoto,4.7,7.0,2.3
Rasmus Merivoo,3.7999999999999994,6.099999999999999,2.2999999999999994
Michelle Schumacher,3.2999999999999994,5.599999999999999,2.2999999999999994
Richard Boddington,2.8000000000000003,5.1,2.2999999999999994
Jimmy Williams,3.7999999999999994,6.099999999999999,2.2999999999999994
Michael Preece,2.7000000000000006,5.0,2.2999999999999994
James Cotten,3.2999999999999994,5.599999999999999,2.2999999999999994
Hunter Johnson,2.7000000000000006,5.0,2.2999999999999994
Arthur Egeli,3.7000000000000006,6.0,2.2999999999999994
Lynn Hamrick,5.400000000000001,7.7,2.299999999999999
Erik Greenberg Anjou,4.8,7.099999999999999,2.299999999999999
Steven Hilliard Stern,4.3,6.599999999999999,2.299999999999999
David Kent-Watson,4.3,6.599999999999999,2.299999999999999
Andrew Hyatt,4.3,6.599999999999999,2.299999999999999
Amol Shetge,4.266666666666667,6.533333333333334,2.2666666666666675
Shao-Wei Ma,3.6,5.866666666666667,2.266666666666667
Jean-Marc Piché,3.9,6.166666666666667,2.266666666666667
Sam Feder,5.933333333333333,8.2,2.2666666666666666
Francis Megahy,5.3,7.566666666666666,2.2666666666666666
John Henry Richardson,4.8,7.066666666666666,2.2666666666666666
Jason Zada,4.8,7.066666666666666,2.2666666666666666
Olallo Rubio,5.2,7.466666666666666,2.2666666666666657
Miguel Gaudêncio,5.400000000000001,7.666666666666667,2.2666666666666657
Lee Madsen,4.5,6.766666666666666,2.2666666666666657
Daniel Lambo,5.466666666666666,7.7,2.2333333333333343
Ted V. Mikels,3.5,5.733333333333334,2.2333333333333343
Bong Ramos,5.666666666666667,7.900000000000001,2.2333333333333343
